{'time': 1.6902878284454346, 'x': -0.9339344134620496, 'y': 0.07207781664717315, 'z': 0.0491671916815609, 'yaw': 0.15010843906433077, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.70054030418396, 'x': -0.9339332429253961, 'y': 0.0721175739183633, 'z': 0.049140930807694196, 'yaw': 0.1517064044975244, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7108278274536133, 'x': -0.9339157910299101, 'y': 0.07209728516186162, 'z': 0.049162496374387604, 'yaw': 0.1521039494347378, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.720853328704834, 'x': -0.9339251316456317, 'y': 0.07213489003590795, 'z': 0.04919005848202866, 'yaw': 0.15153243294311602, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.730006217956543, 'x': -0.933934706057222, 'y': 0.07205904377236512, 'z': 0.04911986602752873, 'yaw': 0.15188980325682763, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7408959865570068, 'x': -0.933939092518386, 'y': 0.07213327888466459, 'z': 0.04918452883064694, 'yaw': 0.15192570611490297, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7509253025054932, 'x': -0.9338948381071848, 'y': 0.07201930793367715, 'z': 0.04961619842903075, 'yaw': 0.1526934114927017, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7609732151031494, 'x': -0.9339963457684912, 'y': 0.07229700320481248, 'z': 0.048736834935662714, 'yaw': 0.1484190020154818, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.77097749710083, 'x': -0.933942035289721, 'y': 0.07208333446792997, 'z': 0.0492008477306543, 'yaw': 0.15231722542657702, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7796657085418701, 'x': -0.9339447754008469, 'y': 0.07215688534515033, 'z': 0.04923605378259352, 'yaw': 0.15045445907449637, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7908611297607422, 'x': -0.9339711482652884, 'y': 0.07227608485417056, 'z': 0.04868807842688166, 'yaw': 0.1493896857622007, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8010852336883545, 'x': -0.9339366009170412, 'y': 0.0720983560664799, 'z': 0.04919543978929605, 'yaw': 0.1522163967930888, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8071043491363525, 'x': -0.9339582275908788, 'y': 0.07210186953503125, 'z': 0.04912793365764772, 'yaw': 0.15113296683923308, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8212223052978516, 'x': -0.9339146137934475, 'y': 0.07210417583669644, 'z': 0.04912822026771768, 'yaw': 0.15177575301253887, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.82722806930542, 'x': -0.9339173856920506, 'y': 0.07200110701311979, 'z': 0.04952845499534806, 'yaw': 0.15298520751789077, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8402020931243896, 'x': -0.9339356797749224, 'y': 0.07214050112798634, 'z': 0.049285956143733746, 'yaw': 0.15294238925529363, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8513717651367188, 'x': -0.9340388001905027, 'y': 0.0723268570800652, 'z': 0.0487564766023099, 'yaw': 0.14851465766187988, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.860440969467163, 'x': -0.933907786767466, 'y': 0.07212268711035576, 'z': 0.049170659405734216, 'yaw': 0.1511657991035384, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.866590976715088, 'x': -0.9338885352064525, 'y': 0.07204867186340756, 'z': 0.04910739351685373, 'yaw': 0.15294732668124794, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8804278373718262, 'x': -0.9339428114084716, 'y': 0.07211191699362504, 'z': 0.04920150680194658, 'yaw': 0.15120055929021398, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.891387701034546, 'x': -0.9339387368377703, 'y': 0.07212399704430505, 'z': 0.049179328465532926, 'yaw': 0.14989918187662626, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.900432825088501, 'x': -0.9339195665295646, 'y': 0.07205664100363705, 'z': 0.049148174192453715, 'yaw': 0.15145575772343692, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.910010576248169, 'x': -0.9339192785530976, 'y': 0.0721197992103074, 'z': 0.04910136972386329, 'yaw': 0.1502347592585414, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9211111068725586, 'x': -0.9339522785785376, 'y': 0.07209648960095881, 'z': 0.04921052924507385, 'yaw': 0.15239204152380664, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.930159330368042, 'x': -0.9339853930849247, 'y': 0.07230757907495475, 'z': 0.04871155421886767, 'yaw': 0.14911525930757163, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9401850700378418, 'x': -0.9339216942616708, 'y': 0.07215493141949358, 'z': 0.049163952548208455, 'yaw': 0.15198206644841303, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9462010860443115, 'x': -0.9339523462341182, 'y': 0.07213719280170963, 'z': 0.04918300574571083, 'yaw': 0.15208112379655767, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.961240530014038, 'x': -0.9338907422739459, 'y': 0.07195491264499752, 'z': 0.04954337994579941, 'yaw': 0.15051637829706138, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9707322120666504, 'x': -0.9339086679365941, 'y': 0.07216994944837551, 'z': 0.04923373776742168, 'yaw': 0.15169935798761436, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9808876514434814, 'x': -0.9339759712056045, 'y': 0.07211724996452978, 'z': 0.04919713147212487, 'yaw': 0.14934614529796914, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9907417297363281, 'x': -0.9338780899423064, 'y': 0.07194486594260835, 'z': 0.04951367119731985, 'yaw': 0.15064607345212233, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0007731914520264, 'x': -0.9339318485606638, 'y': 0.07211791773975475, 'z': 0.049184752162070855, 'yaw': 0.15131488337824028, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
