{'time': 1.7008037567138672, 'x': 0.014683137139542926, 'y': 0.010836288460001056, 'z': 0.06112102560405481, 'yaw': 0.0013181525285860531, 'velocity': 0.009728130889457008, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.709834098815918, 'x': 0.014664306706286, 'y': 0.010840546069328846, 'z': 0.06106654378485446, 'yaw': 0.001693485926352956, 'velocity': 0.006400778589007102, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7198171615600586, 'x': 0.014645381964335914, 'y': 0.010926201794974975, 'z': 0.06111415102756238, 'yaw': 0.0027171094717036853, 'velocity': 0.0111164212553377, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7298238277435303, 'x': 0.014820520455834969, 'y': 0.010857771905088643, 'z': 0.06103173906470135, 'yaw': -0.0018379701500625956, 'velocity': 0.022786747228702692, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7407639026641846, 'x': 0.014787501701633952, 'y': 0.010852867338441619, 'z': 0.061087659151206536, 'yaw': -0.0008589777460157322, 'velocity': 0.006526730672542682, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7507636547088623, 'x': 0.01459640214826419, 'y': 0.010919184926953414, 'z': 0.06117857144692594, 'yaw': 0.002694430584205403, 'velocity': 0.022177589237987037, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7597086429595947, 'x': 0.014731387925739825, 'y': 0.010861915120847044, 'z': 0.06110805943373747, 'yaw': 0.0017394700811716743, 'velocity': 0.018189521339997485, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7704479694366455, 'x': 0.014749314978829378, 'y': 0.010916942762375134, 'z': 0.06105078935811302, 'yaw': 0.0006237319003167726, 'velocity': 0.008356831631246644, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7806260585784912, 'x': 0.01470329654937218, 'y': 0.010836786499097244, 'z': 0.061084938511290744, 'yaw': 0.0012589238558979574, 'velocity': 0.01073120660074517, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7903861999511719, 'x': 0.014624685429741411, 'y': 0.010923789917851812, 'z': 0.0611685282769889, 'yaw': 0.0032143367570851727, 'velocity': 0.01637710992594438, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
