{'time': 2.2359488010406494, 'x': 0.871557427474542, 'y': -9.961946980917634, 'z': 0, 'yaw': 48.78195259324131, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.2479805946350098, 'x': 2.5881904510231935, 'y': -9.659258262891223, 'z': 0, 'yaw': 48.956485518440736, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.2600131034851074, 'x': 4.226182617405071, 'y': -9.063077870367396, 'z': 0, 'yaw': 49.131018443640166, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.2720446586608887, 'x': 5.735764363508692, 'y': -8.191520442891157, 'z': 0, 'yaw': 49.305551368839595, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.2840771675109863, 'x': 7.071067811863921, 'y': -7.071067811867029, 'z': 0, 'yaw': 49.480084294039024, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.2961089611053467, 'x': 8.191520442888635, 'y': -5.735764363512292, 'z': 0, 'yaw': 49.65461721923845, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.308140993118286, 'x': 9.06307787036554, 'y': -4.226182617409054, 'z': 0, 'yaw': 49.82915014443788, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.3201730251312256, 'x': 9.659258262890084, 'y': -2.5881904510274394, 'z': 0, 'yaw': 50.00368306963731, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.332205057144165, 'x': 9.96194698091725, 'y': -0.8715574274789208, 'z': 0, 'yaw': 50.17821599483674, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.3442370891571045, 'x': 9.961946980917663, 'y': 0.8715574274742053, 'z': 0, 'yaw': 50.35274892003617, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.356269121170044, 'x': 9.65925826289131, 'y': 2.588190451022867, 'z': 0, 'yaw': 50.5272818452356, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.3683009147644043, 'x': 9.06307787036754, 'y': 4.226182617404764, 'z': 0, 'yaw': 50.70181477043503, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.3803327083587646, 'x': 8.19152044289135, 'y': 5.735764363508414, 'z': 0, 'yaw': 50.87634769563446, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.392364978790283, 'x': 7.071067811867269, 'y': 7.071067811863681, 'z': 0, 'yaw': 51.05088062083389, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.4043967723846436, 'x': 5.735764363512569, 'y': 8.191520442888441, 'z': 0, 'yaw': 51.225413546033316, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.416429042816162, 'x': 4.226182617409361, 'y': 9.063077870365396, 'z': 0, 'yaw': 51.399946471232745, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.4284608364105225, 'x': 2.588190451027766, 'y': 9.659258262889997, 'z': 0, 'yaw': 51.574479396432174, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.440492868423462, 'x': 0.8715574274792577, 'y': 9.96194698091722, 'z': 0, 'yaw': 51.749012321631604, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.4525251388549805, 'x': -0.8715574274738684, 'y': 9.961946980917693, 'z': 0, 'yaw': 51.92354524683103, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.46455717086792, 'x': -2.5881904510225406, 'y': 9.659258262891397, 'z': 0, 'yaw': 52.09807817203046, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.4765889644622803, 'x': -4.226182617404458, 'y': 9.063077870367684, 'z': 0, 'yaw': 52.27261109722989, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.4886209964752197, 'x': -5.735764363508138, 'y': 8.191520442891544, 'z': 0, 'yaw': 52.44714402242932, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.500653028488159, 'x': -7.071067811863443, 'y': 7.071067811867508, 'z': 0, 'yaw': 52.62167694762875, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.5126850605010986, 'x': -8.191520442888248, 'y': 5.735764363512846, 'z': 0, 'yaw': 52.79620987282818, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.524716854095459, 'x': -9.063077870365253, 'y': 4.226182617409667, 'z': 0, 'yaw': 52.97074279802761, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.5367491245269775, 'x': -9.65925826288991, 'y': 2.588190451028092, 'z': 0, 'yaw': 53.14527572322704, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.548781156539917, 'x': -9.96194698091719, 'y': 0.8715574274795945, 'z': 0, 'yaw': 53.319808648426466, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.5608131885528564, 'x': -9.961946980917721, 'y': -0.8715574274735315, 'z': 0, 'yaw': 53.494341573625896, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.572844982147217, 'x': -9.659258262891484, 'y': -2.588190451022214, 'z': 0, 'yaw': 53.668874498825325, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.5848770141601562, 'x': -9.063077870367826, 'y': -4.2261826174041515, 'z': 0, 'yaw': 53.843407424024754, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.596909284591675, 'x': -8.191520442891738, 'y': -5.73576436350786, 'z': 0, 'yaw': 54.01794034922418, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
