{'time': 1.4892070293426514, 'x': 0.004420304136963779, 'y': 0.006414757716300391, 'z': 0.04284771333080383, 'yaw': 0.07251759121147573, 'velocity': 0.00564295798644651, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.499180793762207, 'x': 0.004441343675094548, 'y': 0.0063533076117910274, 'z': 0.04279041746192081, 'yaw': 0.07207467705624714, 'velocity': 0.009647739467692252, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.510246992111206, 'x': 0.004418418872655599, 'y': 0.006362240864459979, 'z': 0.04285391172615372, 'yaw': 0.07220248355657817, 'velocity': 0.006762385433846262, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5202205181121826, 'x': 0.004426394196948114, 'y': 0.006403997148355887, 'z': 0.04286232294264749, 'yaw': 0.07235033131308831, 'velocity': 0.00481779896958539, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5302155017852783, 'x': 0.004423660320189016, 'y': 0.006395637108957309, 'z': 0.04283964735989015, 'yaw': 0.07189921554255137, 'velocity': 0.0024333933490994697, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.539919376373291, 'x': 0.004551315226667937, 'y': 0.006181157694155625, 'z': 0.042899054456009465, 'yaw': 0.06788727622729301, 'velocity': 0.026439599310901448, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5498723983764648, 'x': 0.004439748783531445, 'y': 0.00634947710146432, 'z': 0.04283942090320687, 'yaw': 0.07215295830906696, 'velocity': 0.02115517884264704, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5598435401916504, 'x': 0.004404224645346269, 'y': 0.006389353621206285, 'z': 0.04281203163125381, 'yaw': 0.07266905487897006, 'velocity': 0.006019264738625726, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5698416233062744, 'x': 0.004421031097294985, 'y': 0.006393338535439059, 'z': 0.04282587426921087, 'yaw': 0.07218700768422923, 'velocity': 0.002459353985098873, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5799453258514404, 'x': 0.004432428317955514, 'y': 0.006387253055482365, 'z': 0.042871532299380434, 'yaw': 0.0717297363631083, 'velocity': 0.004696384675261425, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5901012420654297, 'x': 0.004430858678289679, 'y': 0.00637869413229381, 'z': 0.042856623635702154, 'yaw': 0.07217908905017824, 'velocity': 0.0016997290081787694, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5960915088653564, 'x': 0.004434854300182578, 'y': 0.006377014748311799, 'z': 0.04281342142506338, 'yaw': 0.0722677288402486, 'velocity': 0.007248271135115936, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6093568801879883, 'x': 0.004402651812377525, 'y': 0.006394958577280462, 'z': 0.042840032849263264, 'yaw': 0.07298511660933972, 'velocity': 0.004888059232857721, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6193337440490723, 'x': 0.0044214094900257425, 'y': 0.006375454902638627, 'z': 0.04285614502274922, 'yaw': 0.07224275761118736, 'velocity': 0.003156661850016928, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6293365955352783, 'x': 0.004424972581676568, 'y': 0.0063863683891648764, 'z': 0.04283525963649534, 'yaw': 0.07233350970256824, 'velocity': 0.0026479927938637964, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6393051147460938, 'x': 0.004439742675914972, 'y': 0.006392978552386145, 'z': 0.042841922190212836, 'yaw': 0.07247489624001348, 'velocity': 0.0019453768705852347, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.649256706237793, 'x': 0.0044136947880433226, 'y': 0.006375941182648389, 'z': 0.04282640095274845, 'yaw': 0.07236583505955851, 'velocity': 0.0038750303102950486, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6602869033813477, 'x': 0.004416761273691328, 'y': 0.006352549768227777, 'z': 0.042824741792032585, 'yaw': 0.07252621684137858, 'velocity': 0.0023479672604188716, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6699371337890625, 'x': 0.004421117326251236, 'y': 0.006386435517129438, 'z': 0.04283609878176312, 'yaw': 0.07222830508052558, 'velocity': 0.003730769270966607, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6803252696990967, 'x': 0.004422874665134609, 'y': 0.006409575987214362, 'z': 0.042852579713388225, 'yaw': 0.07225931258703362, 'velocity': 0.0028511459876289294, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6907734870910645, 'x': 0.004448004606565342, 'y': 0.006389722441021957, 'z': 0.042844298848900494, 'yaw': 0.07195282710791615, 'velocity': 0.00350057440979616, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6997432708740234, 'x': 0.00443076380274792, 'y': 0.006362777156578561, 'z': 0.042816287537676655, 'yaw': 0.07228670848995769, 'velocity': 0.004740329145787972, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.709947109222412, 'x': 0.004421564042305657, 'y': 0.0063774834670339885, 'z': 0.04280571971233716, 'yaw': 0.07243950880114808, 'velocity': 0.0022064076609060153, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7199490070343018, 'x': 0.004452097627399074, 'y': 0.006343735964055222, 'z': 0.04282601510451736, 'yaw': 0.07261034350412751, 'velocity': 0.005537877177862548, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7298922538757324, 'x': 0.004429643654187606, 'y': 0.006388010635642491, 'z': 0.042861746439804026, 'yaw': 0.07228583411050145, 'velocity': 0.006814475378236818, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7398638725280762, 'x': 0.004408350487145837, 'y': 0.0064118136807685055, 'z': 0.04284288115981988, 'yaw': 0.07198020333012344, 'velocity': 0.004133119105043061, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7498364448547363, 'x': 0.004436444707535344, 'y': 0.0063780506265108585, 'z': 0.042841499066869335, 'yaw': 0.07225848020604483, 'velocity': 0.004896202785789855, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.759809970855713, 'x': 0.004425919165555437, 'y': 0.006361757695663638, 'z': 0.042818624518032464, 'yaw': 0.07258591302048421, 'velocity': 0.0033411308426660323, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.769782304763794, 'x': 0.00442090349717074, 'y': 0.006374426126084937, 'z': 0.04283169330559736, 'yaw': 0.07259963315677777, 'velocity': 0.0021035697208187263, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7757666110992432, 'x': 0.004434745132054596, 'y': 0.006388231575620942, 'z': 0.04285091644595486, 'yaw': 0.07242581417962168, 'velocity': 0.004581539844097838, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7857403755187988, 'x': 0.004439840480097189, 'y': 0.006388385910666953, 'z': 0.042864867208320105, 'yaw': 0.07161037268313936, 'velocity': 0.0024819837825137843, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7957124710083008, 'x': 0.004430362713185846, 'y': 0.00638726705052711, 'z': 0.042835840808556055, 'yaw': 0.07239720157104791, 'velocity': 0.0030640562713461906, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8056857585906982, 'x': 0.004408032914898609, 'y': 0.0063762150419142336, 'z': 0.04282362129139014, 'yaw': 0.07230471505961678, 'velocity': 0.004659468149917171, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8196768760681152, 'x': 0.004430971430647527, 'y': 0.006338363869893295, 'z': 0.04281980740775104, 'yaw': 0.07191231397587172, 'velocity': 0.0031751096501386796, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
