{'time': 1.7885711193084717, 'x': -1.2879353754426204, 'y': -0.03461833985558575, 'z': 0.06105042239800082, 'yaw': 0.05703830117121361, 'velocity': 0.009102883478217506, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7975308895111084, 'x': -1.287936218227978, 'y': -0.034694739018015015, 'z': 0.06104910870473499, 'yaw': 0.05499563145477774, 'velocity': 0.008528690147847275, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8084955215454102, 'x': -1.287924746697612, 'y': -0.03470574089846572, 'z': 0.06102940934648499, 'yaw': 0.0556096358873673, 'velocity': 0.002538171003009958, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.818490982055664, 'x': -1.2879390718472026, 'y': -0.034683452890032586, 'z': 0.06102967862247343, 'yaw': 0.055916386907671756, 'velocity': 0.0029447589220599163, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8285243511199951, 'x': -1.2879798986426325, 'y': -0.03467923381521643, 'z': 0.061004872126550556, 'yaw': 0.05636690468498012, 'velocity': 0.005296243250044325, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.839491367340088, 'x': -1.2879720245042126, 'y': -0.03470038095636364, 'z': 0.06102360953986876, 'yaw': 0.056429877255506994, 'velocity': 0.0026744533994865105, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.84848952293396, 'x': -1.2879406535074198, 'y': -0.03468915635841195, 'z': 0.06098665547694065, 'yaw': 0.05573018980589465, 'velocity': 0.005529660586092382, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8584439754486084, 'x': -1.287963522860905, 'y': -0.034591884256672215, 'z': 0.06109734368764688, 'yaw': 0.056674819407771616, 'velocity': 0.014980222662462846, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8694143295288086, 'x': -1.2879156925135917, 'y': -0.034694369504366385, 'z': 0.0610049447205174, 'yaw': 0.055837295077913754, 'velocity': 0.013312508273992931, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.878391981124878, 'x': -1.287957234012292, 'y': -0.03467060672213736, 'z': 0.061087028812360666, 'yaw': 0.05580198744009221, 'velocity': 0.010583686670115633, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8883793354034424, 'x': -1.28794522879203, 'y': -0.034713279290391384, 'z': 0.061001670264460656, 'yaw': 0.05711226211482393, 'velocity': 0.01069484975950134, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.898465633392334, 'x': -1.287935294989328, 'y': -0.03469355586946953, 'z': 0.060988493958380206, 'yaw': 0.055962370193332604, 'velocity': 0.002829125458225121, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9084150791168213, 'x': -1.2879568672084967, 'y': -0.03465210465921391, 'z': 0.06105062320286544, 'yaw': 0.057054213611212413, 'velocity': 0.00864259596859202, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9184069633483887, 'x': -1.287955117710057, 'y': -0.034722343784977246, 'z': 0.061011001685466595, 'yaw': 0.057096949722780614, 'velocity': 0.008974338824264646, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.928365707397461, 'x': -1.287923987258625, 'y': -0.034697541566396324, 'z': 0.06102936543375722, 'yaw': 0.055549750666213635, 'velocity': 0.004884723918682555, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9383740425109863, 'x': -1.2879321712746703, 'y': -0.034706065216331794, 'z': 0.06102523030458889, 'yaw': 0.055843630024721896, 'velocity': 0.0013895753215205423, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.94834566116333, 'x': -1.287916858794806, 'y': -0.034706969292608546, 'z': 0.06101460731595154, 'yaw': 0.05550390191289594, 'velocity': 0.0020790934897064973, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9583191871643066, 'x': -1.2879341982479042, 'y': -0.03468441090782202, 'z': 0.06100205238278887, 'yaw': 0.05523437226061539, 'velocity': 0.003463706751348887, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9692907333374023, 'x': -1.287958392351783, 'y': -0.03470423078674192, 'z': 0.06096859425350018, 'yaw': 0.056628050561150896, 'velocity': 0.0045919253427935455, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9782702922821045, 'x': -1.2879580552081822, 'y': -0.034721688088500784, 'z': 0.06099113881961179, 'yaw': 0.05656506343638156, 'velocity': 0.0031755911950480577, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9892354011535645, 'x': -1.2879388173602355, 'y': -0.03466653496950337, 'z': 0.06104676942580508, 'yaw': 0.05714327507828854, 'velocity': 0.008092675916111704, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9992139339447021, 'x': -1.287921058737078, 'y': -0.03468631684665823, 'z': 0.06105449394438584, 'yaw': 0.05556635008901649, 'velocity': 0.0030845510553937855, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.009188413619995, 'x': -1.2879904990874238, 'y': -0.034593444360990794, 'z': 0.061095296907511996, 'yaw': 0.05644828265091082, 'velocity': 0.013696689966843048, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.019158124923706, 'x': -1.2879718554740063, 'y': -0.034717085540396486, 'z': 0.061032930608510595, 'yaw': 0.056408636924968746, 'velocity': 0.014015382031254258, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0291309356689453, 'x': -1.2879587100740544, 'y': -0.03469808416333791, 'z': 0.06098229866629351, 'yaw': 0.05517222163567887, 'velocity': 0.005580644984459582, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.038112163543701, 'x': -1.2879775176221533, 'y': -0.03467907882512449, 'z': 0.061006388527274434, 'yaw': 0.055802616265133505, 'velocity': 0.00400719774629364, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
