{'time': 1.4368174076080322, 'x': 0.05082460250618861, 'y': 0.018421201873108407, 'z': 0.04864803035427415, 'yaw': 0.2597682319033215, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4428348541259766, 'x': 0.050788784322513256, 'y': 0.018431646285522577, 'z': 0.04868531162369379, 'yaw': 0.25963593402618135, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4488525390625, 'x': 0.05081905337115377, 'y': 0.01849724561431792, 'z': 0.04872313482769331, 'yaw': 0.26329106131313806, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.455869197845459, 'x': 0.05082519113675161, 'y': 0.018517662396423634, 'z': 0.0487159024024299, 'yaw': 0.26337501422911697, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4608817100524902, 'x': 0.05084548412764478, 'y': 0.018518452902707, 'z': 0.04872638136636599, 'yaw': 0.2640226949838591, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.46689772605896, 'x': 0.05081932221819882, 'y': 0.01843173890462405, 'z': 0.04866974342499438, 'yaw': 0.2596343380380168, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.472914695739746, 'x': 0.05082731168862868, 'y': 0.018453112126915847, 'z': 0.04866502382209065, 'yaw': 0.2593195094887186, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4789314270019531, 'x': 0.05084299829469659, 'y': 0.018520389579766823, 'z': 0.048664744518484314, 'yaw': 0.26358361215424847, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.484950065612793, 'x': 0.0508336633846755, 'y': 0.01851173908888046, 'z': 0.04869154286658669, 'yaw': 0.2634218141392938, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4909632205963135, 'x': 0.050805225939498946, 'y': 0.018510027261901877, 'z': 0.04873138929890899, 'yaw': 0.2634325459019976, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4969782829284668, 'x': 0.0508279187123133, 'y': 0.018509165873580435, 'z': 0.048735486836584734, 'yaw': 0.2636778947155365, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.502995491027832, 'x': 0.05082811151517644, 'y': 0.018525499123571397, 'z': 0.0487056846744718, 'yaw': 0.26355996521614966, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5090105533599854, 'x': 0.05080562511649149, 'y': 0.018423715742041036, 'z': 0.04865579946076306, 'yaw': 0.2595379113221845, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5150251388549805, 'x': 0.050805484645923306, 'y': 0.018430356670060894, 'z': 0.04863931495879632, 'yaw': 0.2598183680885587, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.521045446395874, 'x': 0.050847176448863905, 'y': 0.01852105428166107, 'z': 0.04869231715691952, 'yaw': 0.26366171493524515, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5270576477050781, 'x': 0.05083322515625021, 'y': 0.01844214681540311, 'z': 0.04864657949575844, 'yaw': 0.2593479140192623, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5330743789672852, 'x': 0.05080491223960924, 'y': 0.018429226554932114, 'z': 0.048658492569356414, 'yaw': 0.260090269769486, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5390911102294922, 'x': 0.05079692828519176, 'y': 0.018430317792606798, 'z': 0.048680316776359665, 'yaw': 0.2596793243392431, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5451066493988037, 'x': 0.05080564382505241, 'y': 0.018426152946025592, 'z': 0.04867576204944643, 'yaw': 0.2599659863036014, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
