{'time': 1.4643173217773438, 'x': 0.3802345840786139, 'y': -0.009052307337511592, 'z': 0.044800009748323856, 'yaw': -0.01757250980518954, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4703333377838135, 'x': 0.38026063543260413, 'y': -0.00899190161331251, 'z': 0.04488382662462941, 'yaw': -0.02016248095917028, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4763505458831787, 'x': 0.38026724939975054, 'y': -0.008998488436265661, 'z': 0.04489019128447574, 'yaw': -0.01982004726787512, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4823637008666992, 'x': 0.3802741979512303, 'y': -0.009006253641658055, 'z': 0.0448780709087076, 'yaw': -0.020001220557333, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4883813858032227, 'x': 0.38026975774795707, 'y': -0.008990848287924211, 'z': 0.04486091622657203, 'yaw': -0.019781915163160413, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4943974018096924, 'x': 0.38025891297316017, 'y': -0.008983723056634304, 'z': 0.0448557099250771, 'yaw': -0.0199158813670266, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5004117488861084, 'x': 0.3802524549183837, 'y': -0.008992890379162016, 'z': 0.04488453276818503, 'yaw': -0.020133398574153638, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5064277648925781, 'x': 0.3802044533490274, 'y': -0.009048600038898218, 'z': 0.04481451807108261, 'yaw': -0.01758754506578608, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5124454498291016, 'x': 0.38022820639381644, 'y': -0.009053011271538888, 'z': 0.044779568429883676, 'yaw': -0.017624676506188486, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5184617042541504, 'x': 0.3802701743356791, 'y': -0.008991443558059621, 'z': 0.04487703184385988, 'yaw': -0.020026896556120555, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5244762897491455, 'x': 0.3802850618414061, 'y': -0.008997433974221513, 'z': 0.04488394585083688, 'yaw': -0.02010417891516436, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5304920673370361, 'x': 0.3802208406543386, 'y': -0.009051458798558468, 'z': 0.04481123306944415, 'yaw': -0.017283049161145314, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5365092754364014, 'x': 0.3802692941312486, 'y': -0.008993332425399975, 'z': 0.04486976059715794, 'yaw': -0.020183984222610363, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.542525291442871, 'x': 0.38026348480521555, 'y': -0.008996805457785306, 'z': 0.04484924254237192, 'yaw': -0.020091737715634217, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5485398769378662, 'x': 0.38027013660327397, 'y': -0.008994261642112174, 'z': 0.04487346564741342, 'yaw': -0.02001317230525146, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.554556131362915, 'x': 0.380268689319542, 'y': -0.008999563749320056, 'z': 0.044884763403249324, 'yaw': -0.020204288419870764, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5605733394622803, 'x': 0.3802577956075827, 'y': -0.008988810596203928, 'z': 0.044865381669647195, 'yaw': -0.019868590102892547, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.56658935546875, 'x': 0.3802745519007439, 'y': -0.008995473091925643, 'z': 0.04486419304371055, 'yaw': -0.02011889382199783, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5726048946380615, 'x': 0.3802617496097294, 'y': -0.0090030895403521, 'z': 0.04487845425365883, 'yaw': -0.019862816589751198, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5786197185516357, 'x': 0.38027201607141925, 'y': -0.009008567139806349, 'z': 0.04487916152645284, 'yaw': -0.02010497668389455, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5846374034881592, 'x': 0.380271001084827, 'y': -0.008995818872456571, 'z': 0.044869860433056394, 'yaw': -0.019642001261481745, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.590653419494629, 'x': 0.3802309114959919, 'y': -0.009056996410620877, 'z': 0.04480404325827185, 'yaw': -0.01768946266586724, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.596667766571045, 'x': 0.38027788254097966, 'y': -0.008992902059571413, 'z': 0.044874427160586323, 'yaw': -0.01993422872112749, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
