{'time': 1.8060076236724854, 'x': -0.03394825230078691, 'y': 0.0034787443964075285, 'z': 0.039961725369102204, 'yaw': -0.022238048470591743, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8159806728363037, 'x': -0.03396639460703924, 'y': 0.0034623430394258464, 'z': 0.03996981888519039, 'yaw': -0.022314073948530577, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8259539604187012, 'x': -0.033879201869218875, 'y': 0.0037169900339645394, 'z': 0.03989783564936196, 'yaw': -0.027273549393940222, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8359441757202148, 'x': -0.03389971158651719, 'y': 0.0034504030829032445, 'z': 0.03995032961522397, 'yaw': -0.022278770752432564, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.845804214477539, 'x': -0.033940319811792255, 'y': 0.0034597945552772963, 'z': 0.039949955276058505, 'yaw': -0.02226742315834862, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8517796993255615, 'x': -0.03393270763340124, 'y': 0.003420246202094884, 'z': 0.03994544031782592, 'yaw': -0.021654544806361642, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8617730140686035, 'x': -0.03397061851537969, 'y': 0.0034747877040984423, 'z': 0.03996611955706007, 'yaw': -0.022537519407569206, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.875755786895752, 'x': -0.03396910174136787, 'y': 0.003458222107892775, 'z': 0.0399496854775546, 'yaw': -0.021520163315073226, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8859307765960693, 'x': -0.03395521392892403, 'y': 0.003476094375449927, 'z': 0.03996285230391103, 'yaw': -0.022208389687966346, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8962023258209229, 'x': -0.03394011097213555, 'y': 0.0034768547539448737, 'z': 0.039957470556162236, 'yaw': -0.022404823778124694, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.902167797088623, 'x': -0.0338450576744686, 'y': 0.003255684491488983, 'z': 0.03978146237957842, 'yaw': -0.01724655706461764, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9121410846710205, 'x': -0.03396334267867955, 'y': 0.0034597747835366124, 'z': 0.03996585387281722, 'yaw': -0.02175451810915785, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9221141338348389, 'x': -0.03386647294681924, 'y': 0.0036861663863265795, 'z': 0.039904878621925675, 'yaw': -0.026322319909771963, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.936331033706665, 'x': -0.033865659544269525, 'y': 0.003666798308992975, 'z': 0.03986560691922783, 'yaw': -0.027061149273634122, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.942314863204956, 'x': -0.03389017201369884, 'y': 0.0032755861440041433, 'z': 0.03977848105450488, 'yaw': -0.017421749496445038, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9522879123687744, 'x': -0.033939816628782225, 'y': 0.0034647111583614777, 'z': 0.039952585080364825, 'yaw': -0.022184310641138794, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9655969142913818, 'x': -0.033901483346806933, 'y': 0.0036094856362436484, 'z': 0.04004667695984261, 'yaw': -0.026424159056870344, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.97654390335083, 'x': -0.033941089498018544, 'y': 0.0034434899217990526, 'z': 0.03995082960187765, 'yaw': -0.02141105007694133, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9858779907226562, 'x': -0.033979025192799585, 'y': 0.0034766017276109586, 'z': 0.04000131535818193, 'yaw': -0.021919716239811926, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9960031509399414, 'x': -0.03398461251715118, 'y': 0.0034756015840731284, 'z': 0.039966549074200684, 'yaw': -0.021950073651604285, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0020110607147217, 'x': -0.03389760422479827, 'y': 0.00324657665385863, 'z': 0.039781360074986546, 'yaw': -0.017105651960620527, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.016197919845581, 'x': -0.03391626258825178, 'y': 0.0031845251438268984, 'z': 0.039898260794439235, 'yaw': -0.017239125588909054, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0220892429351807, 'x': -0.0339530125344315, 'y': 0.0034790519113859285, 'z': 0.039955785449868796, 'yaw': -0.022263277487928335, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0360329151153564, 'x': -0.0321398923857186, 'y': 0.003999428240353884, 'z': 0.04085149113893108, 'yaw': -0.0010860559048193608, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0420174598693848, 'x': -0.032182238272627846, 'y': 0.004000956536275103, 'z': 0.04083227045781161, 'yaw': -0.0006266902695371002, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.052021026611328, 'x': -0.03215502974557628, 'y': 0.0039308558513265306, 'z': 0.04098982986349569, 'yaw': -0.0011548843646140838, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.062016248703003, 'x': -0.032176981387464894, 'y': 0.00400095045757852, 'z': 0.04083986299476155, 'yaw': -0.0006576352511595829, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.076138496398926, 'x': -0.032125426065888425, 'y': 0.0038741095250458563, 'z': 0.04065875866439, 'yaw': 0.003759170081747202, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0855939388275146, 'x': -0.032076022566664836, 'y': 0.003813762240171035, 'z': 0.04083445394767757, 'yaw': 0.0031814972018074103, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.096013307571411, 'x': -0.03207918415710822, 'y': 0.0038694268099971623, 'z': 0.040680700943220814, 'yaw': 0.0032333295966012815, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.101999282836914, 'x': -0.03216556304144433, 'y': 0.003997825271450634, 'z': 0.040834529997998796, 'yaw': -0.000969962712321859, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1119723320007324, 'x': -0.03217676522936415, 'y': 0.004007473100724521, 'z': 0.0408445768868103, 'yaw': -0.0011700330593997776, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1260337829589844, 'x': -0.03214666330143511, 'y': 0.004005534838556705, 'z': 0.04080393321254294, 'yaw': -0.0007522018618262294, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.136056900024414, 'x': -0.03217383358062462, 'y': 0.004014346036297775, 'z': 0.040805552587300085, 'yaw': -0.00025385794228593994, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.142045021057129, 'x': -0.03203601882454634, 'y': 0.00342359843983947, 'z': 0.04096234702379271, 'yaw': 0.006611393659139749, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1520800590515137, 'x': -0.03214403215932638, 'y': 0.004004075891904681, 'z': 0.04081909785803618, 'yaw': -0.0007388475628049562, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1621603965759277, 'x': -0.032161570846657064, 'y': 0.004025220745240992, 'z': 0.04082666106697485, 'yaw': -0.0012162572553426898, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1718833446502686, 'x': -0.03216781232468505, 'y': 0.003923326460495551, 'z': 0.04101157842974596, 'yaw': -0.0009581594888636857, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1818578243255615, 'x': -0.0321490271984537, 'y': 0.004015886496304197, 'z': 0.040815706068209535, 'yaw': -0.00069498455438044, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
